freq,unit,age,sex,geo\TIME_PERIOD	2023 
A,NR,TOTAL,T,EU27_2020	448753823 bep
A,NR,Y1,T,EU27_2020	4080529 bep
A,NR,Y10,T,EU27_2020	4631283 bep
A,NR,Y11,T,EU27_2020	4646542 bep
A,NR,Y12,T,EU27_2020	4799867 bep
A,NR,Y13,T,EU27_2020	4814196 bep
A,NR,Y14,T,EU27_2020	4865231 bep
A,NR,Y15,T,EU27_2020	4766947 bep
A,NR,Y16,T,EU27_2020	4737012 bep
A,NR,Y17,T,EU27_2020	4692335 bep
A,NR,Y18,T,EU27_2020	4692863 bep
A,NR,Y19,T,EU27_2020	4665570 bep
A,NR,Y2,T,EU27_2020	4080175 bep
A,NR,Y20,T,EU27_2020	4672242 bep
A,NR,Y21,T,EU27_2020	4730406 bep
A,NR,Y22,T,EU27_2020	4882453 bep
A,NR,Y23,T,EU27_2020	4838388 bep
A,NR,Y24,T,EU27_2020	4870952 bep
A,NR,Y25,T,EU27_2020	4941783 bep
A,NR,Y26,T,EU27_2020	4982612 bep
A,NR,Y27,T,EU27_2020	5014215 bep
A,NR,Y28,T,EU27_2020	5106714 bep
A,NR,Y29,T,EU27_2020	5232468 bep
A,NR,Y3,T,EU27_2020	4200792 bep
A,NR,Y30,T,EU27_2020	5394209 bep
A,NR,Y31,T,EU27_2020	5504765 bep
A,NR,Y32,T,EU27_2020	5705149 bep
A,NR,Y33,T,EU27_2020	5700833 bep
A,NR,Y34,T,EU27_2020	5813178 bep
A,NR,Y35,T,EU27_2020	5768294 bep
A,NR,Y36,T,EU27_2020	5803501 bep
A,NR,Y37,T,EU27_2020	5838946 bep
A,NR,Y38,T,EU27_2020	5870711 bep
A,NR,Y39,T,EU27_2020	5895953 bep
A,NR,Y4,T,EU27_2020	4313370 bep
A,NR,Y40,T,EU27_2020	6045457 bep
A,NR,Y41,T,EU27_2020	6077801 bep
A,NR,Y42,T,EU27_2020	6208011 bep
A,NR,Y43,T,EU27_2020	6160004 bep
A,NR,Y44,T,EU27_2020	6187299 bep
A,NR,Y45,T,EU27_2020	6233134 bep
A,NR,Y46,T,EU27_2020	6256038 bep
A,NR,Y47,T,EU27_2020	6282863 bep
A,NR,Y48,T,EU27_2020	6354597 bep
A,NR,Y49,T,EU27_2020	6254205 bep
A,NR,Y5,T,EU27_2020	4429315 bep
A,NR,Y50,T,EU27_2020	6350104 bep
A,NR,Y51,T,EU27_2020	6418032 bep
A,NR,Y52,T,EU27_2020	6406961 bep
A,NR,Y53,T,EU27_2020	6496807 bep
A,NR,Y54,T,EU27_2020	6546245 bep
A,NR,Y55,T,EU27_2020	6539285 bep
A,NR,Y56,T,EU27_2020	6410180 bep
A,NR,Y57,T,EU27_2020	6401760 bep
A,NR,Y58,T,EU27_2020	6464881 bep
A,NR,Y59,T,EU27_2020	6301146 bep
A,NR,Y6,T,EU27_2020	4502674 bep
A,NR,Y60,T,EU27_2020	6119280 bep
A,NR,Y61,T,EU27_2020	6060607 bep
A,NR,Y62,T,EU27_2020	5988850 bep
A,NR,Y63,T,EU27_2020	5890567 bep
A,NR,Y64,T,EU27_2020	5735659 bep
A,NR,Y65,T,EU27_2020	5656928 bep
A,NR,Y66,T,EU27_2020	5532010 bep
A,NR,Y67,T,EU27_2020	5420746 bep
A,NR,Y68,T,EU27_2020	5240943 bep
A,NR,Y69,T,EU27_2020	5061521 bep
A,NR,Y7,T,EU27_2020	4503445 bep
A,NR,Y70,T,EU27_2020	4980868 bep
A,NR,Y71,T,EU27_2020	4805646 bep
A,NR,Y72,T,EU27_2020	4776525 bep
A,NR,Y73,T,EU27_2020	4647392 bep
A,NR,Y74,T,EU27_2020	4498532 bep
A,NR,Y75,T,EU27_2020	4260622 bep
A,NR,Y76,T,EU27_2020	3963108 bep
A,NR,Y77,T,EU27_2020	3248749 bep
A,NR,Y78,T,EU27_2020	3330122 bep
A,NR,Y79,T,EU27_2020	3159122 bep
A,NR,Y8,T,EU27_2020	4551025 bep
A,NR,Y80,T,EU27_2020	2911295 bep
A,NR,Y81,T,EU27_2020	2866290 bep
A,NR,Y82,T,EU27_2020	2900289 bep
A,NR,Y83,T,EU27_2020	2647889 bep
A,NR,Y84,T,EU27_2020	2416438 bep
A,NR,Y85,T,EU27_2020	2172018 bep
A,NR,Y86,T,EU27_2020	1969477 bep
A,NR,Y87,T,EU27_2020	1738950 bep
A,NR,Y88,T,EU27_2020	1509367 bep
A,NR,Y89,T,EU27_2020	1245384 bep
A,NR,Y9,T,EU27_2020	4509093 bep
A,NR,Y90,T,EU27_2020	1076187 bep
A,NR,Y91,T,EU27_2020	889825 bep
A,NR,Y92,T,EU27_2020	744710 bep
A,NR,Y93,T,EU27_2020	560571 bep
A,NR,Y94,T,EU27_2020	434110 bep
A,NR,Y95,T,EU27_2020	316451 bep
A,NR,Y96,T,EU27_2020	231934 bep
A,NR,Y97,T,EU27_2020	163134 bep
A,NR,Y98,T,EU27_2020	110718 bep
A,NR,Y99,T,EU27_2020	74981 bep
A,NR,Y_LT1,T,EU27_2020	3830374 bep
A,NR,Y_OPEN,T,EU27_2020	120788 bep
