memberships,returned_meps,current_meps,current_return_ratio,former_return_ratio
REGI,28,82,0.34146341463414637,0.3373493975903614
EMPL,37,103,0.3592233009708738,0.36633663366336633
PECH,20,53,0.37735849056603776,0.4
CULT,23,60,0.38333333333333336,0.40350877192982454
PETI,24,62,0.3870967741935484,0.36923076923076925
TRAN,36,90,0.4,0.3711340206185567
FEMM,29,72,0.4027777777777778,0.453125
SEDE,26,59,0.4406779661016949,0.49056603773584906
BUDG,31,70,0.44285714285714284,0.40789473684210525
IMCO,47,104,0.4519230769230769,0.573170731707317
ITRE,78,169,0.46153846153846156,0.5165562913907285
ENVI,83,178,0.46629213483146065,0.49404761904761907
AFET,75,158,0.47468354430379744,0.4966887417218543
AGRI,47,96,0.4895833333333333,0.5280898876404494
LIBE,72,147,0.4897959183673469,0.5454545454545454
AFCO,29,58,0.5,0.5370370370370371
CONT,26,51,0.5098039215686274,0.4727272727272727
INTA,45,85,0.5294117647058824,0.5555555555555556
ECON,58,107,0.5420560747663551,0.5132743362831859
SANT,31,56,0.5535714285714286,0.5740740740740741
JURI,30,49,0.6122448979591837,0.6382978723404256
FISC,27,41,0.6585365853658537,0.54
