country,men_percentage_current,men_percentage_former,change
LU,33.33333333333333,33.33333333333333,0.0
FI,35.714285714285715,35.714285714285715,0.0
SE,47.61904761904761,47.61904761904761,0.0
ES,49.152542372881356,49.152542372881356,0.0
FR,51.89873417721519,51.89873417721519,0.0
PT,52.38095238095239,52.38095238095239,0.0
IT,53.94736842105263,53.94736842105263,0.0
NL,55.172413793103445,55.172413793103445,0.0
DK,57.14285714285714,57.14285714285714,0.0
IE,61.53846153846154,61.53846153846154,0.0
BE,61.904761904761905,61.904761904761905,0.0
HU,61.904761904761905,61.904761904761905,0.0
LV,62.5,62.5,0.0
SI,62.5,62.5,0.0
AT,63.1578947368421,63.1578947368421,0.0
DE,64.58333333333334,64.58333333333334,0.0
PL,65.38461538461539,65.38461538461539,0.0
CZ,66.66666666666666,66.66666666666666,0.0
HR,66.66666666666666,66.66666666666666,0.0
MT,66.66666666666666,66.66666666666666,0.0
BG,70.58823529411765,70.58823529411765,0.0
SK,71.42857142857143,71.42857142857143,0.0
EE,71.42857142857143,71.42857142857143,0.0
LT,72.72727272727273,72.72727272727273,0.0
GR,76.19047619047619,76.19047619047619,0.0
CY,83.33333333333334,83.33333333333334,0.0
RO,84.84848484848484,84.84848484848484,0.0
