identifier;gender;citizenship
99945;FEMALE;DEU
204333;MALE;ITA
124739;MALE;PRT
97236;FEMALE;FRA
124812;MALE;ITA
197462;MALE;DEU
33997;FEMALE;ROU
38511;MALE;AUT
96713;MALE;CZE
96811;FEMALE;ESP
197629;FEMALE;FRA
197413;MALE;HRV
197677;MALE;AUT
96868;FEMALE;FRA
124828;MALE;ITA
197781;MALE;NLD
204336;FEMALE;SVK
124831;FEMALE;ITA
197590;MALE;ITA
197782;MALE;NLD
197842;FEMALE;BGR
131507;MALE;ESP
197588;FEMALE;HUN
197444;FEMALE;DEU
97968;MALE;BGR
197665;MALE;ROU
124781;MALE;MLT
204335;FEMALE;FIN
187917;MALE;BEL
124861;FEMALE;ITA
197698;MALE;FRA
197491;FEMALE;EST
124821;MALE;ITA
197392;FEMALE;SWE
1917;MALE;DEU
202351;MALE;ESP
192634;MALE;ITA
96833;MALE;DEU
28617;FEMALE;LVA
28298;FEMALE;ESP
124875;MALE;DNK
125012;MALE;ROU
197489;MALE;DEU
23768;MALE;POL
125067;MALE;GRC
197494;FEMALE;FRA
197519;FEMALE;POL
33982;MALE;ROU
28150;FEMALE;HUN
197472;MALE;BEL
190464;MALE;AUT
197621;MALE;ESP
197653;MALE;ROU
125020;MALE;NLD
209140;MALE;ROU
197806;FEMALE;ITA
86793;FEMALE;DEU
197523;MALE;POL
197652;FEMALE;AUT
124705;MALE;HUN
197557;MALE;FRA
197829;MALE;ESP
197540;MALE;POL
124714;MALE;HUN
98341;FEMALE;BGR
197478;MALE;DEU
197658;MALE;ROU
197631;MALE;ROU
96991;FEMALE;ESP
197841;MALE;LTU
239258;FEMALE;ITA
182995;FEMALE;FRA
197501;MALE;POL
251874;MALE;DEU
197799;MALE;ITA
197837;MALE;LTU
197694;MALE;FRA
197427;FEMALE;DEU
197567;FEMALE;DNK
197679;FEMALE;ESP
124934;FEMALE;AUT
125005;MALE;ESP
197650;FEMALE;PRT
209091;MALE;MLT
197638;FEMALE;PRT
198096;FEMALE;ESP
4267;MALE;DEU
124709;FEMALE;CZE
197582;FEMALE;ITA
96775;FEMALE;ITA
132366;FEMALE;FIN
197794;FEMALE;ITA
197798;FEMALE;ITA
