identifier;name;familyName;givenName;country;group;gender;citizenship;memberships;born_place;born_day;born_month;born_year;disability;born_lat;born_lon;relatives;educated_at;highest_degree;occupation
99945;lena düpont;Düpont;Lena;DE;PPE;FEMALE;DEU;LIBE,D-ME,AGRI,FEMM,D-JP;Dortmund;30.0;4.0;1986.0;;51.513888888;7.465277777;;;university;politician,journalist,manager
204333;salvatore de meo;De Meo;Salvatore;IT;PPE;MALE;ITA;AFCO,AGRI,D-RS,D-IN,ITRE,IMCO,D-RU;Fondi;27.0;10.0;1971.0;;41.35;13.416666666;;Sapienza University of Rome;university;politician,businessperson,lawyer,manager
124739;carlos zorrinho;Zorrinho;Carlos;PT;S&D;MALE;PRT;DACP,ITRE,DAFR,DEVE,DMAS;Óbidos;28.0;5.0;1959.0;;39.361952;-9.157131;;University of Évora;phd;politician,official,professor
97236;marie toussaint;Toussaint;Marie;FR;Verts/ALE;FEMALE;FRA;ITRE,JURI,D-US,DLAT,ENVI;LILLE;27.0;5.0;1987.0;;50.631944444;3.0575;;Sciences Po;;lawyer,politician,activist
124812;fabio massimo castaldo;Castaldo;Fabio Massimo;IT;Renew;MALE;ITA;AFET,SEDE,ECON,D-CL,DSCA,DLAT,DEPA;Rome;18.0;9.0;1985.0;;41.893055555;12.482777777;;Tor Vergata University of Rome;university;politician,lawyer
197462;erik marquardt;Marquardt;Erik;DE;Verts/ALE;MALE;DEU;DEVE,DMAS,LIBE,D-AF,AFET,DMED,DACP,DAFR;Neubrandenburg;20.0;10.0;1987.0;;53.556944444;13.260833333;;;;photographer,politician
33997;corina crețu;Crețu;Corina;RO;S&D;FEMALE;ROU;ENVI,REGI,D-TR,AFET,CONT,D-ME,DCAS;Bucureşti;24.0;6.0;1967.0;;44.4;26.083333333;;Bucharest University of Economic Studies;;journalist,researcher,politician
38511;georg mayer;Mayer;Georg;AT;ID;MALE;AUT;ITRE,D-IR,DLAT,TRAN,D-CA,DCAM,DASE;Feldbach;12.0;10.0;1973.0;;46.955;15.888333333;;University of Graz;;politician
96713;evžen tošenovský;Tošenovský;Evžen;CZ;ECR;MALE;CZE;ITRE,D-JP,TRAN,DKOR;Ostrava;26.0;2.0;1956.0;;49.835555555;18.2925;;VSB – Technical University of Ostrava;university;politician
96811;rosa estaràs ferragut;Estaràs Ferragut;Rosa;ES;PPE;FEMALE;ESP;EMPL,FEMM,DACP,DCAB,DEVE,PETI,D-MX,D-CA,DLAT;Valldemossa;21.0;10.0;1965.0;;39.711677777;2.622580555;;University of the Balearic Islands;university;politician,official,lawyer,manager
197629;maxette pirbakas;Pirbakas;Maxette;FR;NI;FEMALE;FRA;REGI,EMPL,D-IN;Pointe-à-Pitre;14.0;4.0;1975.0;;16.241111111;-61.533055555;;;;farmer,politician
197413;karlo ressler;Ressler;Karlo;HR;PPE;MALE;HRV;BUDG,LIBE,D-CN,D-AL;Zagreb;26.0;12.0;1989.0;;45.813055555;15.977222222;;Faculty of Law of the University of Zagreb;;politician
197677;günther sidl;Sidl;Günther;AT;S&D;MALE;AUT;ENVI,DCAS,ITRE,SANT,D-RU,DMED;St. Pölten;19.0;3.0;1975.0;;48.2;15.616666666;;University of Vienna;;politician
96868;karima delli;Delli;Karima;FR;Verts/ALE;FEMALE;FRA;TRAN,D-CN,ECON;Roubaix;4.0;3.0;1979.0;;50.69;3.181666666;;Sciences Po Lille;;politician
124828;fulvio martusciello;Martusciello;Fulvio;IT;PPE;MALE;ITA;ITRE,ECON,ENVI,FISC,D-ME,DARP,DSAS,DMED,DACP,DAFR;Napoli;25.0;5.0;1968.0;;40.835833333;14.248611111;;University of Naples Federico II;;politician,official,lawyer
197781;malik azmani;Azmani;Malik;NL;Renew;MALE;NLD;LIBE,DMAG,DMED,AFET;Heerenveen;20.0;1.0;1976.0;;52.9658;6.0503;;University of Groningen;university;politician,manager
204336;miriam lexmann;Lexmann;Miriam;SK;PPE;FEMALE;SVK;AFET,EMPL,D-BY,DEPA,SEDE;Bratislava;2.0;12.0;1972.0;;48.144722222;17.112777777;;Comenius University;;politician
124831;isabella adinolfi;Adinolfi;Isabella;IT;PPE;FEMALE;ITA;FEMM,D-US,CULT,DANZ;Nocera Inferiore;27.0;3.0;1978.0;;40.75;14.633333333;;Suor Orsola Benincasa University of Naples;university;teacher,politician
197590;giuliano pisapia;Pisapia;Giuliano;IT;S&D;MALE;ITA;AFCO,DPAL,AFET,LIBE,DROI,DASE,DMED;Milano;20.0;5.0;1949.0;;45.466944444;9.19;Gian Domenico Pisapia;University of Milan;university;manager,writer,journalist,professor,lawyer,politician
197782;mohammed chahim;Chahim;Mohammed;NL;S&D;MALE;NLD;ENVI,D-IN,ITRE,DARP;Fes;18.0;4.0;1985.0;;34.043333333;-5.003333333;;;;politician
131507;miguel urbán crespo;Urbán Crespo;Miguel;ES;The Left;MALE;ESP;DEVE,DROI,DMER,DLAT,LIBE,D-BR;Madrid;26.0;3.0;1980.0;;40.416944444;-3.703333333;;;;politician,activist
197588;katalin cseh;Cseh;Katalin;HU;Renew;FEMALE;HUN;AFET,BUDG,DROI,D-US,CONT,REGI,D-MK;Montréal;29.0;6.0;1988.0;;45.508888888;-73.561666666;;Semmelweis University,Erasmus University Rotterdam,Eötvös Loránd University,Toldy Ferenc Gimnázium;;doctor,researcher,politician
197444;svenja hahn;Hahn;Svenja;DE;Renew;FEMALE;DEU;IMCO,DASE,INTA,DANZ;Hamburg;25.0;7.0;1989.0;;53.55;10.0;;Humboldt University of Berlin,University of Giessen;university;politician,manager
97968;andrey kovatchev;Kovatchev;Andrey;BG;PPE;MALE;BGR;IMCO,DACP,DAFR,AFET,INTA,DROI,DASE;Sofia;13.0;12.0;1967.0;;42.697886;23.321726;;Saarland University;;politician
197665;dragoş tudorache;Tudorache;Dragoş;RO;Renew;MALE;ROU;AFET,DSEE,D-US,LIBE,SEDE,D-CN;Bârlad;14.0;1.0;1975.0;;;;;;;
124781;alfred sant;Sant;Alfred;MT;S&D;MALE;MLT;ECON,PETI,D-US,BUDG,FISC,D-UK,D-JP;Sliema;28.0;2.0;1948.0;;35.883333333;14.483333333;;École nationale d'administration,Harvard University,Questrom School of Business,Boston University,Harvard Business School;university;writer,diplomat,journalist,official,politician
204335;alviina alametsä;Alametsä;Alviina;FI;Verts/ALE;FEMALE;FIN;AFET,PETI,SEDE,D-US,D-IN,DPAP;;29.0;9.0;1992.0;;;;;;university;consultant,manager
187917;marc botenga;Botenga;Marc;BE;The Left;MALE;BEL;ITRE,DACP,DAFR,AFET,EMPL,DPAL;Bruxelles;29.0;12.0;1980.0;;50.846666666;4.351666666;;IMT School for Advanced Studies Lucca;;politician
124861;caterina chinnici;Chinnici;Caterina;IT;PPE;FEMALE;ITA;CONT,D-CL,D-IN,JURI,DSAS;Palermo;5.0;11.0;1954.0;;38.115658055;13.361261944;Rocco Chinnici;University of Palermo;university;politician,official,lawyer,manager
197698;pierre larrouturou;Larrouturou;Pierre;FR;S&D;MALE;FRA;BUDG,D-IL,DPAL,EMPL;Périgueux;19.0;10.0;1964.0;;45.184166666;0.718055555;;Institut National Agronomique Paris-Grignon,Sciences Po;;politician,consultant
197491;marina kaljurand;Kaljurand;Marina;EE;S&D;FEMALE;EST;DSCA,LIBE,DEPA,ITRE,FEMM,D-US;Tallinn;6.0;9.0;1962.0;;59.437222222;24.745;;Tufts University,University of Tartu,The Fletcher School of Law and Diplomacy;university;manager,diplomat,marketeer,professor,official,lawyer,politician,athlete
124821;nicola danti;Danti;Nicola;IT;Renew;MALE;ITA;ITRE,DMER,DLAT,TRAN,D-CN,DASE;Pelago (FI);6.0;9.0;1966.0;;43.773888888;11.504722222;;University of Florence;university;politician,official
197392;evin incir;Incir;Evin;SE;S&D;FEMALE;SWE;DPAL,LIBE,D-TR,D-IR,AFET;Diyarbakir;15.0;6.0;1984.0;;37.910833333;40.236666666;;;;politician
1917;markus ferber;Ferber;Markus;DE;PPE;MALE;DEU;FISC,ECON,DAND,DKOR,DLAT,TRAN,D-CL;Augsburg;15.0;1.0;1965.0;;48.368888888;10.897777777;;Technical University of Munich;university;politician,engineer
202351;carles puigdemont i casamajó;Puigdemont i Casamajó;Carles;ES;NI;MALE;ESP;INTA,D-ME,DPAP,LIBE;Amer;29.0;12.0;1962.0;;42.009218;2.603015;Xavier Puigdemont Oliveras,Núria Casamajó;;university;politician,journalist,manager,activist
192634;giuseppe ferrandino;Ferrandino;Giuseppe;IT;Renew;MALE;ITA;ECON,ENVI,TRAN,PECH,DLAT;Ischia (NA);21.0;3.0;1963.0;;40.75;13.95;;University of Naples Federico II;;politician
96833;jens geier;Geier;Jens;DE;S&D;MALE;DEU;ITRE,D-JP,BUDG,D-US;Frankfurt;22.0;6.0;1961.0;;50.110555555;8.682222222;;Helmholtz-Gymnasium (Essen, Germany),Ruhr University Bochum;university;researcher,manager,marketeer,official,politician,consultant
28617;inese vaidere;Vaidere;Inese;LV;PPE;FEMALE;LVA;DACP,DPAC,ECON,ENVI,DCAR,DASE;Jelgavā;3.0;9.0;1952.0;;56.652222222;23.724444444;;University of Latvia;phd;researcher,manager,teacher,professor,official,lawyer,politician
28298;iratxe garcía pérez;García Pérez;Iratxe;ES;S&D;FEMALE;ESP;ENVI;Baracaldo;7.0;10.0;1974.0;;;;;;university;
124875;anders primdahl vistisen;Vistisen;Anders Primdahl;DK;ID;MALE;DNK;AFET,ENVI,LIBE,D-US,EMPL,DANZ;Viborg;12.0;11.0;1987.0;;56.45;9.366669444;;Aarhus University;university;politician,lobbyist,manager
125012;daniel buda;Buda;Daniel;RO;PPE;MALE;ROU;AGRI,DMER,DLAT,REGI,JURI;Com. Românași;11.0;1.0;1970.0;;47.104896;23.170176;;;;lawyer,politician
197489;bernhard zimniok;Zimniok;Bernhard;DE;ID;MALE;DEU;AFET,DEVE,DMAG,DMAS,DMED,DACP,DAFR,D-CN,DCAS,DNAT;Schnaittenbach;21.0;6.0;1953.0;;49.55;12.0167;;;;businessperson,politician,military personnel
23768;bogusław liberadzki;Liberadzki;Bogusław;PL;S&D;MALE;POL;TRAN,D-US,CONT,D-IL;Sochaczew;12.0;9.0;1948.0;;52.225;20.233333333;;SGH Warsaw School of Economics;phd;teacher,researcher,professor,official,politician
197494;nathalie loiseau;Loiseau;Nathalie;FR;Renew;FEMALE;FRA;SEDE,D-UK,DNAT,AFET,DMAG,LIBE,D-CN;Neuilly-sur-Seine;1.0;6.0;1964.0;;48.887222222;2.2675;;Institut national des langues et civilisations orientales,Lycée Carnot,Sciences Po;;diplomat,official,politician,manager
197519;beata kempa;Kempa;Beata;PL;ECR;FEMALE;POL;DEVE,DACP,DAFR,LIBE,DMAS,DMED;Syców;11.0;2.0;1966.0;;51.3;17.716666666;;University of Wrocław;;politician
