identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
257258;ivaylo valchev;Valchev;Ivaylo;BG;ECR;MALE;CULT,PETI,AFET,IMCO;Burgas;9.0;1.0;1972.0;;;;;
257073;tobiasz bocheński;Bocheński;Tobiasz;PL;ECR;MALE;JURI,AFCO;Lodz;15.0;12.0;1987.0;;;;;
99945;lena düpont;Düpont;Lena;DE;PPE;FEMALE;LIBE,AGRI;Dortmund;30.0;4.0;1986.0;;;;university;manager,media,politician
204333;salvatore de meo;De Meo;Salvatore;IT;PPE;MALE;AGRI,AFCO,IMCO,SEDE;Fondi;27.0;10.0;1971.0;;;Sapienza University of Rome;university;businessperson,lawyer,manager,politician
97236;marie toussaint;Toussaint;Marie;FR;Verts/ALE;FEMALE;ECON,ENVI,ITRE,FISC,SANT;LILLE;27.0;5.0;1987.0;;;Sciences Po;;lawyer,activist,politician
197462;erik marquardt;Marquardt;Erik;DE;Verts/ALE;MALE;LIBE,DEVE,CONT,CULT;Neubrandenburg;20.0;10.0;1987.0;;;;;politician,photographer
96811;rosa estaràs ferragut;Estaràs Ferragut;Rosa;ES;PPE;FEMALE;DEVE,FEMM,EMPL,PETI;Valldemossa;21.0;10.0;1965.0;;;University of the Balearic Islands;university;lawyer,manager,politician,official
256985;michalis hadjipantela;Hadjipantela;Michalis;CY;PPE;MALE;ECON,FISC,BUDG,ENVI,ITRE;Ammochostos;25.0;5.0;1974.0;;;;;
257117;adrian-george axinia;Axinia;Adrian-George;RO;ECR;MALE;TRAN,ENVI,PETI;Focsani;18.0;10.0;1977.0;;;;;
118949;ondřej kovařík;Kovařík;Ondřej;CZ;PfE;MALE;BUDG,ECON,FISC,TRAN;Kyjov;21.0;8.0;1980.0;;;École nationale d'administration,Prague University of Economics and Business;;politician,chinovnik
257027;fernando navarrete rojas;Navarrete Rojas;Fernando;ES;PPE;MALE;BUDG,ECON,FISC,ITRE;Madrid;24.0;1.0;1976.0;;;;;
96675;isabella lövin;Lövin;Isabella;SE;Verts/ALE;FEMALE;DEVE,ITRE,PECH;Helsingborg;3.0;2.0;1963.0;;;;;
197413;karlo ressler;Ressler;Karlo;HR;PPE;MALE;BUDG,CONT,LIBE;Zagreb;26.0;12.0;1989.0;;;Faculty of Law of the University of Zagreb;;politician
197677;günther sidl;Sidl;Günther;AT;S&D;MALE;ENVI,ITRE;St. Pölten;19.0;3.0;1975.0;;;University of Vienna;;politician
256920;isabelle le callennec;Le Callennec;Isabelle;FR;PPE;FEMALE;REGI,PECH,EMPL;Nantes;14.0;10.0;1966.0;;;;;
110673;ana miguel pedro;Pedro;Ana Miguel;PT;PPE;FEMALE;LIBE,AFET,AFCO;Oliveira De Azemeis;7.0;10.0;1989.0;;;;;
125027;esteban gonzález pons;González Pons;Esteban;ES;PPE;MALE;CONT;Valencia;21.0;8.0;1964.0;;;;;
124828;fulvio martusciello;Martusciello;Fulvio;IT;PPE;MALE;ECON,ITRE,DEVE;Napoli;25.0;5.0;1968.0;;;University of Naples Federico II;;lawyer,politician,official
197781;malik azmani;Azmani;Malik;NL;Renew;MALE;LIBE,AFET;Heerenveen;20.0;1.0;1976.0;;;University of Groningen;university;manager,politician
204336;miriam lexmann;Lexmann;Miriam;SK;PPE;FEMALE;INTA,EMPL,AFET;Bratislava;2.0;12.0;1972.0;;;Comenius University;;politician
256830;elisabeth grossmann;Grossmann;Elisabeth;AT;S&D;FEMALE;IMCO,FEMM;Graz;25.0;11.0;1968.0;;;;;
197580;isabella tovaglieri;Tovaglieri;Isabella;IT;PfE;FEMALE;ITRE,INTA,AGRI;Busto Arsizio;25.0;6.0;1987.0;;;University Carlo Cattaneo;university;lawyer,politician
256891;benoit cassart;Cassart;Benoit;BE;Renew;MALE;INTA,TRAN,AGRI;Liège;2.0;10.0;1968.0;;;;;
256976;brigitte van den berg;van den Berg;Brigitte;NL;Renew;FEMALE;EMPL,ITRE,CULT;Heemskerk;22.0;3.0;1989.0;;;;;
125325;sander smit;Smit;Sander;NL;PPE;MALE;ENVI,PECH,LIBE;Goor;29.0;7.0;1985.0;;;;;
197782;mohammed chahim;Chahim;Mohammed;NL;S&D;MALE;ENVI,BUDG,ITRE;Fes;18.0;4.0;1985.0;;;;;politician
257055;małgorzata gosiewska;Gosiewska;Małgorzata;PL;ECR;FEMALE;DEVE,DROI,AFET;Gdansk;22.0;7.0;1966.0;;;;;
257062;stanisław tyszka;Tyszka;Stanisław;PL;ESN;MALE;AFCO,BUDG;Warszawa;11.0;4.0;1979.0;;;;;
125001;harald vilimsky;Vilimsky;Harald;AT;PfE;MALE;AFET,AFCO;Vienna;22.0;7.0;1966.0;;;University of Vienna;;media,politician
197444;svenja hahn;Hahn;Svenja;DE;Renew;FEMALE;INTA,IMCO;Hamburg;25.0;7.0;1989.0;;;University of Giessen,Humboldt University of Berlin;university;manager,media,politician
97968;andrey kovatchev;Kovatchev;Andrey;BG;PPE;MALE;AFET,CONT;Sofia;13.0;12.0;1967.0;;;Saarland University;;politician
256964;nela riehl;Riehl;Nela;DE;Verts/ALE;FEMALE;AFET,EMPL,CULT,SEDE;Hamburg;11.0;9.0;1985.0;;;;;
187917;marc botenga;Botenga;Marc;BE;The Left;MALE;AFET,SEDE,ECON,ITRE,FISC;Bruxelles;29.0;12.0;1980.0;;;IMT School for Advanced Studies Lucca;;politician
256803;maria guzenina;Guzenina;Maria;FI;S&D;FEMALE;IMCO,CULT,FEMM;Helsinki;12.0;1.0;1969.0;;;;;
256899;murielle laurent;Laurent;Murielle;FR;S&D;FEMALE;DEVE,LIBE,PETI;Joigny;21.0;9.0;1977.0;;;;;
124861;caterina chinnici;Chinnici;Caterina;IT;PPE;FEMALE;CONT,LIBE,JURI;Palermo;5.0;11.0;1954.0;;Rocco Chinnici;University of Palermo;university;lawyer,manager,politician,official
197491;marina kaljurand;Kaljurand;Marina;EE;S&D;FEMALE;LIBE,IMCO,FEMM;Tallinn;6.0;9.0;1962.0;;;The Fletcher School of Law and Diplomacy,University of Tartu,Tufts University;university;politician,manager,lawyer,athlete,media,teacher,official
28419;nicola zingaretti;Zingaretti;Nicola;IT;S&D;MALE;AFET,ITRE,CULT;Roma;11.0;10.0;1965.0;;;;;
197392;evin incir;Incir;Evin;SE;S&D;FEMALE;LIBE,AFET;Diyarbakir;15.0;6.0;1984.0;;;;;politician
1917;markus ferber;Ferber;Markus;DE;PPE;MALE;ECON,FISC,TRAN;Augsburg;15.0;1.0;1965.0;;;Technical University of Munich;university;engineer,politician
256965;kai tegethoff;Tegethoff;Kai;DE;Verts/ALE;MALE;TRAN,BUDG,ENVI;Köln;19.0;7.0;1984.0;;;;;
257099;francesco ventola;Ventola;Francesco;IT;ECR;MALE;ECON,REGI,AGRI;Canosa di Puglia;12.0;5.0;1971.0;;;;;
96833;jens geier;Geier;Jens;DE;S&D;MALE;BUDG,ITRE;Frankfurt;22.0;6.0;1961.0;;;Helmholtz-Gymnasium (Essen, Germany),Ruhr University Bochum;university;researcher,consultant,manager,media,politician,official
256907;reinis pozņaks;Pozņaks;Reinis;LV;ECR;MALE;IMCO,SEDE,AFET;Riga;9.0;12.0;1977.0;;;;;
257108;stefano bonaccini;Bonaccini;Stefano;IT;S&D;MALE;AGRI,INTA;Modena;1.0;1.0;1967.0;;;;;
28617;inese vaidere;Vaidere;Inese;LV;PPE;FEMALE;INTA,IMCO,ITRE;Jelgava;3.0;9.0;1952.0;;;University of Latvia;phd;researcher,manager,politician,teacher,official
28298;iratxe garcía pérez;García Pérez;Iratxe;ES;S&D;FEMALE;PETI,AGRI;Baracaldo;7.0;10.0;1974.0;;;;university;
220897;petra steger;Steger;Petra;AT;PfE;FEMALE;LIBE,ITRE;Vienna;4.0;10.0;1987.0;;;;;
257052;maciej wąsik;Wąsik;Maciej;PL;ECR;MALE;TRAN,LIBE;Warszawa;16.0;10.0;1969.0;;;;;
125012;daniel buda;Buda;Daniel;RO;PPE;MALE;REGI,AGRI,JURI,ENVI;Com. Românași;11.0;1.0;1970.0;;;;;lawyer,politician
197494;nathalie loiseau;Loiseau;Nathalie;FR;Renew;FEMALE;AFET,SEDE,LIBE;Neuilly-sur-Seine;1.0;6.0;1964.0;;;Institut national des langues et civilisations orientales,Sciences Po,Lycée Carnot;;manager,politician,official
256927;carola rackete;Rackete;Carola;DE;The Left;FEMALE;ENVI,ECON,AGRI;Preetz;8.0;5.0;1988.0;;;;;
257040;nicolás pascual de la parte;Pascual De La Parte;Nicolás;ES;PPE;MALE;SEDE,AFET,INTA;Cieza, Murcia;21.0;4.0;1959.0;;;;;
257120;diana iovanovici şoşoacă;Iovanovici Şoşoacă;Diana;RO;NI;FEMALE;ITRE,FEMM;Bucharest;13.0;11.0;1975.0;;;;;
99878;waldemar buda;Buda;Waldemar;PL;ECR;MALE;AGRI,INTA,REGI;TUREK;21.0;9.0;1982.0;;;;;
190464;thomas waitz;Waitz;Thomas;AT;Verts/ALE;MALE;AGRI,AFET;Vienna;16.0;5.0;1973.0;;;;;farmer,politician
197621;juan ignacio zoido álvarez;Zoido Álvarez;Juan Ignacio;ES;PPE;MALE;INTA,LIBE,SEDE;Montellano - Sevilla;21.0;1.0;1957.0;;;;university;
197653;claudiu manda;Manda;Claudiu;RO;S&D;MALE;AFET,CONT;Craiova;20.0;12.0;1975.0;;;;phd;manager,politician
257111;dario nardella;Nardella;Dario;IT;S&D;MALE;AGRI,ITRE;Torre del Greco (Na);20.0;11.0;1975.0;;;;;
86793;anna cavazzini;Cavazzini;Anna;DE;Verts/ALE;FEMALE;IMCO,INTA;Schlüchtern;12.0;12.0;1982.0;;;Humboldt University of Berlin,Free University Berlin;university;teacher,politician,official
257081;sebastião bugalho;Bugalho;Sebastião;PT;PPE;MALE;AFET,IMCO,AFCO,DROI;;;;;;;;;
197652;angelika winzig;Winzig;Angelika;AT;PPE;FEMALE;ITRE,ECON,EMPL;Attnang-Puchheim;9.0;5.0;1963.0;;;Vienna University of Economics and Business;phd;manager,politician
256996;sebastian kruis;Kruis;Sebastian;NL;PfE;MALE;INTA,PETI,IMCO;Medellín;4.0;8.0;1989.0;;;;;
257063;catarina martins;Martins;Catarina;PT;The Left;FEMALE;ENVI,SANT,EMPL,ITRE;Porto;7.0;9.0;1973.0;;;;;
197557;christophe grudler;Grudler;Christophe;FR;Renew;MALE;ITRE,AFET,SEDE;BELFORT;9.0;4.0;1965.0;;;University of Strasbourg;;media,politician
98341;eva maydell;Maydell;Eva;BG;PPE;FEMALE;ITRE,ECON;Sofia;26.0;1.0;1986.0;;;John Cabot University;;politician
197658;adrian-dragoş benea;Benea;Adrian-Dragoş;RO;S&D;MALE;REGI,ECON;Bacău;18.0;12.0;1975.0;;;;university;
257089;alice teodorescu måwe;Teodorescu Måwe;Alice;SE;PPE;FEMALE;LIBE,SEDE,AFET;Bucharest;2.0;5.0;1984.0;;;;;
257056;mariusz kamiński;Kamiński;Mariusz;PL;ECR;MALE;LIBE,DEVE,DROI;Sochaczew;25.0;9.0;1965.0;;;;;
197784;susana solís pérez;Solís Pérez;Susana;ES;PPE;FEMALE;ENVI,ITRE,IMCO;Avilés;21.0;12.0;1971.0;;;Osnabrück University of Applied Sciences,IE Business School,University of Oviedo;;engineer,politician
256879;yvan verougstraete;Verougstraete;Yvan;BE;Renew;MALE;ITRE,ENVI,IMCO;Ixelles;6.0;10.0;1975.0;;;;;
197501;joachim stanisław brudziński;Brudziński;Joachim Stanisław;PL;ECR;MALE;BUDG,CONT,LIBE;Świerklaniec;4.0;2.0;1968.0;;;;;
256906;claire fita;Fita;Claire;FR;S&D;FEMALE;ECON,AGRI;Toulouse;31.0;12.0;1976.0;;;;;
4395;mario mantovani;Mantovani;Mario;IT;ECR;MALE;JURI,EMPL,AFCO;Arconate;28.0;7.0;1950.0;;;;;
251874;niels geuking;Geuking;Niels;DE;PPE;MALE;DEVE,EMPL;Coesfeld;17.0;11.0;1992.0;;Helmut Geuking;;;politician
37324;adina vălean;Vălean;Adina;RO;PPE;FEMALE;IMCO,ITRE;;;;;;;;;
256893;pierre pimpie;Pimpie;Pierre;FR;PfE;MALE;ECON,FISC,INTA;Hyères;10.0;9.0;1971.0;;;;;
257051;andrzej buła;Buła;Andrzej;PL;PPE;MALE;EMPL,IMCO,REGI;Kluczbork;28.0;8.0;1965.0;;;;;
257128;giusi princi;Princi;Giusi;IT;PPE;FEMALE;CULT,FEMM,EMPL;REGGIO CALABRIA;27.0;9.0;1972.0;;;;;
