identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
197483;sylvia limmer;Limmer;Sylvia;DE;NI;FEMALE;;Bayreuth;8;2;1966;;;;;politician,doctor
99945;lena düpont;Düpont;Lena;DE;PPE;FEMALE;LIBE,D-ME,AGRI,FEMM,D-JP;Dortmund;30;4;1986;;;;university;politician,media,manager
204333;salvatore de meo;De Meo;Salvatore;IT;PPE;MALE;AFCO,AGRI,D-RS,D-IN,ITRE,IMCO,D-RU;Fondi;27;10;1971;;;Sapienza University of Rome;university;politician,lawyer,businessperson,manager
124739;carlos zorrinho;Zorrinho;Carlos;PT;S&D;MALE;DACP,ITRE,DAFR,DEVE,DMAS;Óbidos;28;5;1959;;;University of Évora;phd;official,politician,researcher
97236;marie toussaint;Toussaint;Marie;FR;Verts/ALE;FEMALE;ITRE,JURI,D-US,DLAT,ENVI;LILLE;27;5;1987;;;Sciences Po;;politician,lawyer,activist
124812;fabio massimo castaldo;Castaldo;Fabio Massimo;IT;Renew;MALE;AFET,SEDE,ECON,D-CL,DSCA,DLAT,DEPA;Rome;18;9;1985;;;Tor Vergata University of Rome;university;politician,lawyer
197462;erik marquardt;Marquardt;Erik;DE;Verts/ALE;MALE;DEVE,DMAS,LIBE,D-AF,AFET,DMED,DACP,DAFR;Neubrandenburg;20;10;1987;;;;;politician,photographer
33997;corina crețu;Crețu;Corina;RO;S&D;FEMALE;ENVI,REGI,D-TR,AFET,CONT,D-ME,DCAS;Bucureşti;24;6;1967;;;Bucharest University of Economic Studies;;politician,media,researcher
38511;georg mayer;Mayer;Georg;AT;ID;MALE;ITRE,D-IR,DLAT,TRAN,D-CA,DCAM,DASE;Feldbach;12;10;1973;;;University of Graz;;politician
96713;evžen tošenovský;Tošenovský;Evžen;CZ;ECR;MALE;ITRE,D-JP,TRAN,DKOR;Ostrava;26;2;1956;;;VSB – Technical University of Ostrava;university;politician,manager
