identifier;born_day;born_month;born_year;born_place;memberships;degrees;occupation
197483;8;2;1966;Bayreuth;;;
99945;30;4;1986;Dortmund;LIBE,D-ME,AGRI,FEMM,D-JP;university;media,politician,manager
204333;27;10;1971;Fondi;AFCO,AGRI,D-RS,D-IN,ITRE,IMCO,D-RU;secondary,university;lawyer,manager
124739;28;5;1959;Óbidos;DACP,ITRE,DAFR,DEVE,DMAS;university,phd;politician,official,researcher
97236;27;5;1987;LILLE;ITRE,JURI,D-US,DLAT,ENVI;;
124812;18;9;1985;;AFET,SEDE,ECON,D-CL,DSCA,DLAT,DEPA;secondary,university;lawyer,politician
197462;20;10;1987;Neubrandenburg;DEVE,DMAS,LIBE,D-AF,AFET,DMED,DACP,DAFR;;
33997;24;6;1967;Bucureşti;ENVI,REGI,D-TR,AFET,CONT,D-ME,DCAS;;
38511;;;;;ITRE,D-IR,DLAT,TRAN,D-CA,DCAM,DASE;;
96713;26;2;1956;Ostrava;ITRE,D-JP,TRAN,DKOR;university;manager
96811;21;10;1965;;EMPL,FEMM,DACP,DCAB,DEVE,PETI,D-MX,D-CA,DLAT;university;lawyer,official,manager
197629;14;4;1975;Pointe-à-Pitre;REGI,EMPL,D-IN;;
197413;;;;;BUDG,LIBE,D-CN,D-AL;;
197677;;;;;ENVI,DCAS,ITRE,SANT,D-RU,DMED;;
96868;4;3;1979;Roubaix;TRAN,D-CN,ECON;;
124828;25;5;1968;Napoli;ITRE,ECON,ENVI,FISC,D-ME,DARP,DSAS,DMED,DACP,DAFR;;lawyer,official
197781;20;1;1976;Heerenveen;LIBE,DMAG,DMED,AFET;university;politician,manager
204336;2;12;1972;Bratislava;AFET,EMPL,D-BY,DEPA,SEDE;;
124831;;;;;FEMM,D-US,CULT,DANZ;university;
197590;20;5;1949;Milano;AFCO,DPAL,AFET,LIBE,DROI,DASE,DMED;university;lawyer,media,politician,teacher,manager
197782;18;4;1985;Fes;ENVI,D-IN,ITRE,DARP;;
197842;27;5;1964;Sofia;;;
131507;26;3;1980;;DEVE,DROI,DMER,DLAT,LIBE,D-BR;;
197588;29;6;1988;Montréal;AFET,BUDG,DROI,D-US,CONT,REGI,D-MK;;
197444;25;7;1989;Hamburg;IMCO,DASE,INTA,DANZ;secondary,university;media,politician,manager
97968;13;12;1967;Sofia;IMCO,DACP,DAFR,AFET,INTA,DROI,DASE;;
197665;14;1;1975;Bârlad;AFET,DSEE,D-US,LIBE,SEDE,D-CN;;
124781;28;2;1948;Sliema;ECON,PETI,D-US,BUDG,FISC,D-UK,D-JP;university;media,official
204335;29;9;1992;;AFET,PETI,SEDE,D-US,D-IN,DPAP;secondary,university;manager,consultant
187917;29;12;1980;Bruxelles;ITRE,DACP,DAFR,AFET,EMPL,DPAL;;
124861;5;11;1954;Palermo;CONT,D-CL,D-IN,JURI,DSAS;university;lawyer,official,manager
197698;19;10;1964;Périgueux;BUDG,D-IL,DPAL,EMPL;;consultant
197491;;;;;DSCA,LIBE,DEPA,ITRE,FEMM,D-US;university;lawyer,media,politician,official,teacher,manager
124821;6;9;1966;Pelago (FI);ITRE,DMER,DLAT,TRAN,D-CN,DASE;university;official
197392;15;6;1984;Diyarbakir;DPAL,LIBE,D-TR,D-IR,AFET;;
1917;15;1;1965;Augsburg;FISC,ECON,DAND,DKOR,DLAT,TRAN,D-CL;university;politician,engineer
202351;;;;;INTA,D-ME,DPAP,LIBE;university;media,manager
192634;21;3;1963;Ischia (NA);ECON,ENVI,TRAN,PECH,DLAT;;
96833;;;;;ITRE,D-JP,BUDG,D-US;;media,politician,official,manager
28617;3;9;1952;Jelgavā;DACP,DPAC,ECON,ENVI,DCAR,DASE;university,phd;politician,official,teacher,researcher,manager
28298;7;10;1974;Baracaldo;ENVI;university;
124875;12;11;1987;Viborg;AFET,ENVI,LIBE,D-US,EMPL,DANZ;university;manager
125012;11;1;1970;Com. Românași;AGRI,DMER,DLAT,REGI,JURI;;
23768;12;9;1948;Sochaczew;TRAN,D-US,CONT,D-IL;university;politician,official,researcher
125067;27;10;1971;Kavala;;;
197494;1;6;1964;Neuilly-sur-Seine;SEDE,D-UK,DNAT,AFET,DMAG,LIBE,D-CN;;official,manager
197519;11;2;1966;Syców;DEVE,DACP,DAFR,LIBE,DMAS,DMED;;
33982;11;8;1952;Râmnicu Vâlcea;ENVI,DACP,DCAB,TRAN,CONT,ITRE,DASE;university;engineer,manager
28150;;;;;AFET,D-CN,DACP,DPAC;university;politician,official
197472;;;;;DROI,D-RU,AFET,SEDE;;
190464;16;5;1973;Vienna;AFET,D-AL,D-ME,AGRI,SEDE,DSEE;;
197621;21;1;1957;Montellano - Sevilla;INTA,AGRI,JURI,DPAL,DMAG,DCAM,DMED,DLAT,CONT,LIBE,DARP;university;
