id;type;officialFamilyName;officialGivenName;identifier;name;familyName;givenName;sortLabel;country;group
person/257258;Person;ВЪЛЧЕВ;Ивайло;257258;Ivaylo VALCHEV;Valchev;Ivaylo;VALCHEVI;BG;ECR
person/257073;Person;;;257073;Tobiasz BOCHEŃSKI;Bocheński;Tobiasz;BOCHENSKI;PL;ECR
person/99945;Person;;;99945;Lena DÜPONT;Düpont;Lena;DUPONTL;DE;PPE
person/204333;Person;;;204333;Salvatore DE MEO;De Meo;Salvatore;DEMEO;IT;PPE
person/97236;Person;;;97236;Marie TOUSSAINT;Toussaint;Marie;TOUSSAINTMR;FR;Verts/ALE
person/197462;Person;;;197462;Erik MARQUARDT;Marquardt;Erik;MARQUARDT;DE;Verts/ALE
person/96811;Person;;;96811;Rosa ESTARÀS FERRAGUT;Estaràs Ferragut;Rosa;ESTARASFERRAGUT;ES;PPE
person/256985;Person;ΧΑΤΖΗΠΑΝΤΕΛΑ;ΜΙΧΑΛΗΣ;256985;Michalis HADJIPANTELA;Hadjipantela;Michalis;HADJIPANTELAM;CY;PPE
person/257117;Person;;;257117;Adrian-George AXINIA;Axinia;Adrian-George;AXINIAA;RO;ECR
person/118949;Person;;;118949;Ondřej KOVAŘÍK;Kovařík;Ondřej;KOVARIK;CZ;PfE
person/257027;Person;;;257027;Fernando NAVARRETE ROJAS;Navarrete Rojas;Fernando;NAVARRETEROJASF;ES;PPE
person/96675;Person;;;96675;Isabella LÖVIN;Lövin;Isabella;LOVIN;SE;Verts/ALE
person/197413;Person;;;197413;Karlo RESSLER;Ressler;Karlo;RESSLER;HR;PPE
person/197677;Person;;;197677;Günther SIDL;Sidl;Günther;SIDL;AT;S&D
person/256920;Person;;;256920;Isabelle LE CALLENNEC;Le Callennec;Isabelle;LECALLENNECI;FR;PPE
person/110673;Person;;;110673;Ana Miguel PEDRO;Pedro;Ana Miguel;PEDROA;PT;PPE
person/125027;Person;;;125027;Esteban GONZÁLEZ PONS;González Pons;Esteban;GONZALEZPONS;ES;PPE
person/124828;Person;;;124828;Fulvio MARTUSCIELLO;Martusciello;Fulvio;MARTUSCIELLO;IT;PPE
person/197781;Person;;;197781;Malik AZMANI;Azmani;Malik;AZMANI;NL;Renew
person/204336;Person;;;204336;Miriam LEXMANN;Lexmann;Miriam;LEXMANN;SK;PPE
person/256830;Person;;;256830;Elisabeth GROSSMANN;Grossmann;Elisabeth;GROSSMANNE;AT;S&D
person/197580;Person;;;197580;Isabella TOVAGLIERI;Tovaglieri;Isabella;TOVAGLIERI;IT;PfE
person/256891;Person;;;256891;Benoit CASSART;Cassart;Benoit;CASSARTB;BE;Renew
person/256976;Person;;;256976;Brigitte VAN DEN BERG;van den Berg;Brigitte;VANDENBERGB;NL;Renew
person/125325;Person;;;125325;Sander SMIT;Smit;Sander;SMITS;NL;PPE
person/197782;Person;;;197782;Mohammed CHAHIM;Chahim;Mohammed;CHAHIM;NL;S&D
person/257055;Person;;;257055;Małgorzata GOSIEWSKA;Gosiewska;Małgorzata;GOSIEWSKAM;PL;ECR
person/257062;Person;;;257062;Stanisław TYSZKA;Tyszka;Stanisław;TYSZKAS;PL;ESN
person/125001;Person;;;125001;Harald VILIMSKY;Vilimsky;Harald;VILIMSKY;AT;PfE
person/197444;Person;;;197444;Svenja HAHN;Hahn;Svenja;HAHN;DE;Renew
person/97968;Person;Ковачев;Андрей;97968;Andrey KOVATCHEV;Kovatchev;Andrey;KOVATCHEV;BG;PPE
person/256964;Person;;;256964;Nela RIEHL;Riehl;Nela;RIEHLN;DE;Verts/ALE
person/187917;Person;;;187917;Marc BOTENGA;Botenga;Marc;BOTENGA;BE;The Left
person/256803;Person;;;256803;Maria GUZENINA;Guzenina;Maria;GUZENINAM;FI;S&D
person/256899;Person;;;256899;Murielle LAURENT;Laurent;Murielle;LAURENTM;FR;S&D
person/124861;Person;;;124861;Caterina CHINNICI;Chinnici;Caterina;CHINNICI;IT;PPE
person/197491;Person;;;197491;Marina KALJURAND;Kaljurand;Marina;KALJURAND;EE;S&D
person/28419;Person;;;28419;Nicola ZINGARETTI;Zingaretti;Nicola;ZINGARETTIN;IT;S&D
person/197392;Person;;;197392;Evin INCIR;Incir;Evin;INCIR;SE;S&D
person/1917;Person;;;1917;Markus FERBER;Ferber;Markus;FERBER;DE;PPE
person/256965;Person;;;256965;Kai TEGETHOFF;Tegethoff;Kai;TEGETHOFFK;DE;Verts/ALE
person/257099;Person;;;257099;Francesco VENTOLA;Ventola;Francesco;VENTOLAF;IT;ECR
person/96833;Person;;;96833;Jens GEIER;Geier;Jens;GEIER;DE;S&D
person/256907;Person;;;256907;Reinis POZŅAKS;Pozņaks;Reinis;POZNAKSR;LV;ECR
person/257108;Person;;;257108;Stefano BONACCINI;Bonaccini;Stefano;BONACCINIS;IT;S&D
person/28617;Person;;;28617;Inese VAIDERE;Vaidere;Inese;VAIDERE;LV;PPE
person/28298;Person;;;28298;Iratxe GARCÍA PÉREZ;García Pérez;Iratxe;GARCIAPEREZ;ES;S&D
person/220897;Person;;;220897;Petra STEGER;Steger;Petra;STEGERP;AT;PfE
person/257052;Person;;;257052;Maciej WĄSIK;Wąsik;Maciej;WASIK;PL;ECR
person/125012;Person;;;125012;Daniel BUDA;Buda;Daniel;BUDA;RO;PPE
person/197494;Person;;;197494;Nathalie LOISEAU;Loiseau;Nathalie;LOISEAUN;FR;Renew
person/256927;Person;;;256927;Carola RACKETE;Rackete;Carola;RACKETEC;DE;The Left
person/257040;Person;;;257040;Nicolás PASCUAL DE LA PARTE;Pascual De La Parte;Nicolás;PASCUALDELAPARTEN;ES;PPE
person/257120;Person;;;257120;Diana IOVANOVICI ŞOŞOACĂ;Iovanovici Şoşoacă;Diana;IOVANOVICISOSOACAD;RO;NI
person/99878;Person;;;99878;Waldemar BUDA;Buda;Waldemar;BUDAW;PL;ECR
person/190464;Person;;;190464;Thomas WAITZ;Waitz;Thomas;WAITZ;AT;Verts/ALE
person/197621;Person;;;197621;Juan Ignacio ZOIDO ÁLVAREZ;Zoido Álvarez;Juan Ignacio;ZOIDOALVAREZ;ES;PPE
person/197653;Person;;;197653;Claudiu MANDA;Manda;Claudiu;MANDA;RO;S&D
person/257111;Person;;;257111;Dario NARDELLA;Nardella;Dario;NARDELLAD;IT;S&D
person/86793;Person;;;86793;Anna CAVAZZINI;Cavazzini;Anna;CAVAZZINI;DE;Verts/ALE
person/257081;Person;;;257081;Sebastião BUGALHO;Bugalho;Sebastião;BUGALHOS;PT;PPE
person/197652;Person;;;197652;Angelika WINZIG;Winzig;Angelika;WINZIG;AT;PPE
person/256996;Person;;;256996;Sebastian KRUIS;Kruis;Sebastian;KRUISS;NL;PfE
person/257063;Person;;;257063;Catarina MARTINS;Martins;Catarina;MARTINSC;PT;The Left
person/197557;Person;;;197557;Christophe GRUDLER;Grudler;Christophe;GRUDLER;FR;Renew
person/98341;Person;Майдел;Ева;98341;Eva MAYDELL;Maydell;Eva;MAYDELL;BG;PPE
person/197658;Person;;;197658;Adrian-Dragoş BENEA;Benea;Adrian-Dragoş;BENEA;RO;S&D
person/257089;Person;;;257089;Alice TEODORESCU MÅWE;Teodorescu Måwe;Alice;TEODORESCUMAWEA;SE;PPE
person/257056;Person;;;257056;Mariusz KAMIŃSKI;Kamiński;Mariusz;KAMINSKIM;PL;ECR
person/197784;Person;;;197784;Susana SOLÍS PÉREZ;Solís Pérez;Susana;SOLISPEREZ;ES;PPE
person/256879;Person;;;256879;Yvan VEROUGSTRAETE;Verougstraete;Yvan;VEROUGSTRAETEY;BE;Renew
person/197501;Person;;;197501;Joachim Stanisław BRUDZIŃSKI;Brudziński;Joachim Stanisław;BRUDZINSKI;PL;ECR
person/256906;Person;;;256906;Claire FITA;Fita;Claire;FITAC;FR;S&D
person/4395;Person;;;4395;Mario MANTOVANI;Mantovani;Mario;MANTOVANIM;IT;ECR
person/251874;Person;;;251874;Niels GEUKING;Geuking;Niels;GEUKINGN;DE;PPE
person/37324;Person;;;37324;Adina VĂLEAN;Vălean;Adina;VALEAN;RO;PPE
person/256893;Person;;;256893;Pierre PIMPIE;Pimpie;Pierre;PIMPIEP;FR;PfE
person/257051;Person;;;257051;Andrzej BUŁA;Buła;Andrzej;BULAA;PL;PPE
person/257128;Person;;;257128;Giusi PRINCI;Princi;Giusi;PRINCIG;IT;PPE
person/197694;Person;;;197694;Raphaël GLUCKSMANN;Glucksmann;Raphaël;GLUCKSMANN;FR;S&D
person/257016;Person;;;257016;Vicent MARZÀ IBÁÑEZ;Marzà Ibáñez;Vicent;MARZAIBANEZV;ES;Verts/ALE
person/124875;Person;;;124875;Anders VISTISEN;Vistisen;Anders;VISTISEN;DK;PfE
person/197679;Person;;;197679;Isabel BENJUMEA BENJUMEA;Benjumea Benjumea;Isabel;BENJUMEABENJUMEA;ES;PPE
person/256875;Person;;;256875;Matthieu VALET;Valet;Matthieu;VALETM;FR;PfE
person/4267;Person;;;4267;Udo BULLMANN;Bullmann;Udo;BULLMANN;DE;S&D
person/257091;Person;;;257091;Dick ERIXON;Erixon;Dick;ERIXOND;SE;ECR
person/256956;Person;ΑΛΕΞΑΝΔΡΑΚΗ;ΓΑΛΑΤΩ;256956;Galato ALEXANDRAKI;Alexandraki;Galato;ALEXANDRAKIG;GR;ECR
person/197526;Person;;;197526;Martin HLAVÁČEK;Hlaváček;Martin;HLAVACEK;CZ;PfE
person/197794;Person;;;197794;Chiara GEMMA;Gemma;Chiara;GEMMA;IT;ECR
person/256912;Person;;;256912;Rima HASSAN;Hassan;Rima;HASSANR;FR;The Left
person/256995;Person;;;256995;Gordan BOSANAC;Bosanac;Gordan;BOSANACG;HR;Verts/ALE
person/257005;Person;;;257005;Ľuboš BLAHA;Blaha;Ľuboš;BLAHAL;SK;NI
person/257080;Person;;;257080;Piotr MÜLLER;Müller;Piotr;MULLERP;PL;ECR
person/4289;Person;;;4289;Angelika NIEBLER;Niebler;Angelika;NIEBLER;DE;PPE
person/124736;Person;;;124736;Merja KYLLÖNEN;Kyllönen;Merja;KYLLONEN;FI;The Left
person/197493;Person;;;197493;Jaak MADISON;Madison;Jaak;MADISON;EE;ECR
person/197636;Person;;;197636;Ioan-Rareş BOGDAN;Bogdan;Ioan-Rareş;BOGDAN;RO;PPE
person/197702;Person;;;197702;Lina GÁLVEZ;Gálvez;Lina;GALVEZ;ES;S&D
person/197718;Person;;;197718;Nicolás GONZÁLEZ CASARES;González Casares;Nicolás;GONZALEZCASARES;ES;S&D
person/24942;Person;;;24942;Ana MIRANDA PAZ;Miranda Paz;Ana;MIRANDA ANA;ES;Verts/ALE
