name;father;mother;born_place;birthplace_link;relatives;degrees;educated_at;occupation;born_day;born_month;born_year
Vlad Gheorghe;;;Bucharest;http://www.wikidata.org/entity/Q19660;;;;politician;22;02;1985
Maria da Graça CARVALHO;;;Beja;http://www.wikidata.org/entity/Q213251;;;Instituto Superior Técnico;engineer,politician,teacher;09;04;1955
José Manuel Fernandes;;;Vila Verde;http://www.wikidata.org/entity/Q551676;;;University of Minho;engineer,politician;26;07;1967
Manuel Pizarro;;;Coimbra;http://www.wikidata.org/entity/Q45412;;;University of Porto;doctor,politician;02;02;1964
Nuno Melo;;;Vila Nova de Famalicão;http://www.wikidata.org/entity/Q551658;;;;politician;18;03;1966
Paulo Rangel;;;Vila Nova de Gaia;http://www.wikidata.org/entity/Q191135;;;University of Coimbra,Catholic University of Portugal,University of Porto;politician,writer;18;02;1968
Emma Wiesner;;;Q10705183;http://www.wikidata.org/entity/Q10705183;;;Uppsala University;politician;11;11;1992
Norbert Neuser;;;Boppard;http://www.wikidata.org/entity/Q521148;;graduate educationalist;University of Koblenz - Landau;politician,teacher;22;03;1949
Alin Mituța;;;Novaci;http://www.wikidata.org/entity/Q386091;;;Sciences Po;politician;24;05;1984
Klaus Buchner;;;Munich;http://www.wikidata.org/entity/Q1726;;;Ludwig Maximilian University of Munich;politician,teacher,researcher,non-fiction writer;06;02;1941
Raffaele Fitto;Salvatore Fitto;;Maglie;http://www.wikidata.org/entity/Q52153;Salvatore Fitto;;University of Bari;politician;28;08;1969
Thijs Reuten;;;Bussum;http://www.wikidata.org/entity/Q9909;Rosa Reuten,Geert Reuten;;;politician;01;01;1974
Michiel Hoogeveen;;;Leiden;http://www.wikidata.org/entity/Q43631;;;Free University of Amsterdam;politician;01;01;1989
Ana Miguel dos Santos;;;Coimbra;http://www.wikidata.org/entity/Q45412;;;;politician;12;09;1981
Aldo Patriciello;;;Venafro;http://www.wikidata.org/entity/Q279711;;;;politician;27;09;1957
Christian Sagartz;;;;;;;;politician;16;01;1981
Christine Schneider;;;Landau in der Pfalz;http://www.wikidata.org/entity/Q7052;;;Berufsakademie Mosbach;politician;05;06;1972
Birgit Sippel;;;Bochum;http://www.wikidata.org/entity/Q2103;;;;politician;29;01;1960
Karolin Braunsberger-Reinhold;;;Wolfen;http://www.wikidata.org/entity/Q685939;;;;politician;03;11;1986
Claude Moraes;;;Aden;http://www.wikidata.org/entity/Q131694;;;University of Dundee School of Law,University of Dundee,London School of Economics and Political Science;politician;22;10;1965
Camilla Laureti;;;Rome;http://www.wikidata.org/entity/Q220;;;Sapienza University of Rome;politician;20;05;1975
Karsten Lucke;;;Kiel;http://www.wikidata.org/entity/Q1707;;;;politician;29;12;1974
Malte Gallée;;;Schwäbisch Gmünd;http://www.wikidata.org/entity/Q4037;;;;politician;05;09;1993
Catharina Rinzema;;;Soest;http://www.wikidata.org/entity/Q10041;;;Leiden University;politician;04;07;1985
Biljana Borzan;;;Osijek;http://www.wikidata.org/entity/Q1640;;;School of Medicine, University of Zagreb;doctor,politician,official;29;11;1971
René Repasi;;;Karlsruhe;http://www.wikidata.org/entity/Q1040;;;;politician;08;11;1979
Maria Noichl;;;Rosenheim;http://www.wikidata.org/entity/Q4007;;;;politician;09;01;1967
Jan-Christoph Oetjen;;;Rotenburg an der Wümme;http://www.wikidata.org/entity/Q498560;;;Leibniz University Hannover;politician;21;02;1978
Max Orville;Xavier Orville;;;;Xavier Orville;;;politician;19;06;1962
Marina Mesure;;;Marseille;http://www.wikidata.org/entity/Q23482;;;;politician;12;07;1989
Éric Minardi;;;Toulon;http://www.wikidata.org/entity/Q44160;;;;politician,restaurateur;18;03;1956
João Albuquerque;;;Barreiro;http://www.wikidata.org/entity/Q217394;;;;politician;25;12;1986
Theresa Bielowski;;;Schwaz;http://www.wikidata.org/entity/Q583485;;;University of Innsbruck;politician;15;06;1984
Eva Maria Poptcheva;;;;;;;;politician,lawyer,official;17;10;1979
Marlene Mortler;;;Lauf an der Pegnitz;http://www.wikidata.org/entity/Q504334;;;;politician,farmer;16;10;1955
Matthias Ecke;;;Meerane;http://www.wikidata.org/entity/Q20083;;;Leipzig University,Charles University;politician;12;04;1983
Sarah Wiener;Oswald Wiener;Lore Heuermann;Halle;http://www.wikidata.org/entity/Q225774;Oswald Wiener,Lore Heuermann;;;entrepreneur,actor,athlete,non-fiction writer,politician,cook;27;08;1962
Maria Angela Danzì;;;Librizzi;http://www.wikidata.org/entity/Q493482;;;University of Messina;politician;05;07;1957
Elisabetta De Blasis;;;Avezzano;http://www.wikidata.org/entity/Q47125;;;University of L'Aquila;politician;30;04;1974
Matteo Gazzini;;;Bolzano;http://www.wikidata.org/entity/Q6526;;;;politician;09;07;1985
Paola Ghidoni;;;Montecchio Maggiore;http://www.wikidata.org/entity/Q46165;;;;politician;08;07;1963
Denis Nesci;;;Polistena;http://www.wikidata.org/entity/Q54637;;;;politician;25;07;1981
Erik Poulsen;;;Hvam Mejeriby;http://www.wikidata.org/entity/Q2105059;;;Danish School of Journalism;politician;16;06;1967
